player_name,team,position
Hugo Lloris,Tottenham Hotspur,GK
Clément Lenglet,Tottenham Hotspur,DF
Ivan Perišić,Tottenham Hotspur,DF
Dejan Kulusevski,Tottenham Hotspur,MF
Emerson,Tottenham Hotspur,DF
Oliver Skipp,Tottenham Hotspur,MF
Rodrigo Bentancur,Tottenham Hotspur,MF
Pedro Porro,Tottenham Hotspur,DF
Richarlison,Tottenham Hotspur,MF
Yves Bissouma,Tottenham Hotspur,MF
Ryan Sessegnon,Tottenham Hotspur,DF
Davinson Sánchez,Tottenham Hotspur,DF
Matt Doherty,Tottenham Hotspur,DF
Pape Matar Sarr,Tottenham Hotspur,MF
Bryan Gil,Tottenham Hotspur,MF
Japhet Tanganga,Tottenham Hotspur,DF
Lucas Moura,Tottenham Hotspur,MF
Harvey White,Tottenham Hotspur,MF
Declan Rice,West Ham,MF
Jarrod Bowen,West Ham,FW
Łukasz Fabiański,West Ham,GK
Tomáš Souček,West Ham,MF
Lucas Paquetá,West Ham,MF
Thilo Kehrer,West Ham,DF
Aaron Cresswell,West Ham,DF
Vladimír Coufal,West Ham,DF
Kurt Zouma,West Ham,DF
Saïd Benrahma,West Ham,FW
Michail Antonio,West Ham,FW
Nayef Aguerd,West Ham,DF
Pablo Fornals,West Ham,FW
Emerson Palmieri,West Ham,DF
Angelo Ogbonna,West Ham,DF
Gianluca Scamacca,West Ham,FW
Ben Johnson,West Ham,DF
Craig Dawson,West Ham,DF
Danny Ings,West Ham,FW
Flynn Downes,West Ham,MF
Manuel Lanzini,West Ham,MF
Maxwel Cornet,West Ham,FW
Max Kilman,Wolverhampton Wanderers,DF
José Sá,Wolverhampton Wanderers,GK
Rúben Neves,Wolverhampton Wanderers,MF
Nélson Semedo,Wolverhampton Wanderers,DF
Matheus Nunes,Wolverhampton Wanderers,MF
João Moutinho,Wolverhampton Wanderers,MF
Daniel Podence,Wolverhampton Wanderers,FW
Nathan Collins,Wolverhampton Wanderers,DF
Craig Dawson,Wolverhampton Wanderers,DF
Mario Lemina,Wolverhampton Wanderers,MF
Hugo Bueno,Wolverhampton Wanderers,DF
Diego Costa,Wolverhampton Wanderers,FW
Jonny Castro,Wolverhampton Wanderers,DF
Pedro Neto,Wolverhampton Wanderers,FW
Adama Traoré,Wolverhampton Wanderers,FW
Hwang Hee-chan,Wolverhampton Wanderers,FW
Matheus Cunha,Wolverhampton Wanderers,FW
Toti Gomes,Wolverhampton Wanderers,DF
Rayan Aït Nouri,Wolverhampton Wanderers,DF
